test_type,partition,run,worker,node,communication_time,computation_time,total_time
A,i7-7700,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.51,32.62,33.14
B,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.02,0.04
B,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
A,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.23,33.02,33.27
A,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.28,32.98,33.27
A,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.55,32.72,33.27
A,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.63,32.64,33.27
B,i7-7700,3,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.02,0.04
B,i7-7700,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
B,i7-7700,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.04
B,i7-7700,3,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.04
A,i7-7700,3,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.98,33.22
A,i7-7700,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.99,33.22
A,i7-7700,3,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.45,32.77,33.22
A,i7-7700,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.44,32.78,33.22
B,i7-7700,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.02,0.04
B,i7-7700,4,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,4,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
A,i7-7700,4,0,soctf-pdc-014.d1.comp.nus.edu.sg,0.24,32.84,33.11
A,i7-7700,4,1,soctf-pdc-014.d1.comp.nus.edu.sg,0.24,32.87,33.11
A,i7-7700,4,2,soctf-pdc-014.d1.comp.nus.edu.sg,0.47,32.64,33.11
A,i7-7700,4,3,soctf-pdc-014.d1.comp.nus.edu.sg,0.44,32.67,33.11
A,both,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.62,32.29,40.98
A,both,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.62,32.33,40.98
A,both,1,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.58,40.35,40.98
A,both,1,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.58,40.39,40.98
B,i7-7700,5,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.02,0.04
B,i7-7700,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,5,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
A,i7-7700,5,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.92,33.16
A,i7-7700,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.93,33.16
A,i7-7700,5,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.46,32.69,33.16
A,i7-7700,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.44,32.72,33.16
A,both,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.62,32.33,41.03
A,both,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.62,32.44,41.03
A,both,2,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.58,40.41,41.03
A,both,2,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.58,40.44,41.03
A,both,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.64,32.29,41.09
A,both,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.64,32.34,41.09
A,both,3,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.45,41.09
A,both,3,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.48,41.09
A,both,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.66,32.25,40.88
A,both,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.67,32.26,40.88
A,both,4,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.61,40.24,40.88
A,both,4,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.61,40.27,40.88
A,both,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.66,32.25,40.93
A,both,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.66,32.25,40.93
A,both,5,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.29,40.93
A,both,5,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.59,40.33,40.93
