test_type,partition,run,worker,node,communication_time,computation_time,total_time
A,xs-4114,2,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.42,42.01,42.43
A,xs-4114,2,3,soctf-pdc-005.d1.comp.nus.edu.sg,0.56,41.87,42.43
A,xs-4114,3,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,42.11,42.53
A,xs-4114,3,1,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,42.18,42.53
A,xs-4114,3,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.57,41.95,42.53
A,xs-4114,3,3,soctf-pdc-005.d1.comp.nus.edu.sg,0.69,41.84,42.53
A,xs-4114,4,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,42.38,42.75
A,xs-4114,4,1,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,42.40,42.75
A,xs-4114,4,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.78,41.97,42.75
A,xs-4114,4,3,soctf-pdc-005.d1.comp.nus.edu.sg,1.11,41.64,42.75
A,xs-4114,5,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,42.28,42.69
A,xs-4114,5,1,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,42.34,42.69
A,xs-4114,5,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.70,41.99,42.69
A,xs-4114,5,3,soctf-pdc-005.d1.comp.nus.edu.sg,0.87,41.82,42.69
Bn5,i7-7700,1,0,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.02,0.05
Bn5,i7-7700,1,1,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.04,0.05
Bn5,i7-7700,1,2,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.04,0.05
Bn5,i7-7700,1,3,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.04,0.05
Bn5,i7-7700,2,0,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.02,0.04
Bn5,i7-7700,2,3,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,2,1,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.04,0.04
Bn5,i7-7700,2,2,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,3,3,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.02,0.05
Bn5,i7-7700,3,1,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.04,0.05
Bn5,i7-7700,3,2,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.04,0.05
Bn5,i7-7700,3,0,soctf-pdc-014.d1.comp.nus.edu.sg,0.01,0.04,0.05
A,i7-7700,3,0,soctf-pdc-014.d1.comp.nus.edu.sg,0.24,32.86,33.12
A,i7-7700,3,1,soctf-pdc-014.d1.comp.nus.edu.sg,0.24,32.87,33.12
A,i7-7700,3,2,soctf-pdc-014.d1.comp.nus.edu.sg,0.49,32.62,33.12
A,i7-7700,3,3,soctf-pdc-014.d1.comp.nus.edu.sg,0.47,32.65,33.12
A,i7-7700,4,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.23,32.83,33.07
A,i7-7700,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.23,32.83,33.07
A,i7-7700,4,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.46,32.61,33.07
A,i7-7700,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.46,32.61,33.07
A,i7-7700,5,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.24,32.84,33.10
A,i7-7700,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.25,32.84,33.10
A,i7-7700,5,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.45,32.64,33.10
A,i7-7700,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.44,32.66,33.10
Bn5,i7-7700,4,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.02,0.04
Bn5,i7-7700,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,4,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.02,0.05
Bn5,i7-7700,5,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.05
Bn5,i7-7700,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.05
Bn5,i7-7700,5,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.05
A,both,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.66,32.22,40.99
A,both,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.67,32.22,40.99
A,both,1,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.34,40.99
A,both,1,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.38,40.99
A,both,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.63,32.35,41.04
A,both,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.63,32.40,41.04
A,both,2,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.41,41.04
A,both,2,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.59,40.44,41.04
A,both,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.65,32.17,40.88
A,both,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.66,32.19,40.88
A,both,3,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.59,40.25,40.88
A,both,3,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.59,40.29,40.88
A,both,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.64,32.30,40.76
A,both,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.65,32.33,40.76
A,both,4,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.59,40.12,40.76
A,both,4,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.59,40.17,40.76
A,both,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.64,32.23,40.95
A,both,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.64,32.27,40.95
A,both,5,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.30,40.95
A,both,5,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.34,40.95
